SUID,name,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,Indegree,IsSingleNode,,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress
7036,NCOA6,0,0.2975,0,5,2,0,FALSE,,23.5,2,0,FALSE,0,NCOA6,0
7042,NFIL3,0,0.28199052,0,5,1,0,FALSE,,13,1,0,FALSE,0,NFIL3,0
7059,NFYB,0,0.28266033,0,5,1,0,FALSE,,38,1,0,FALSE,0,NFYB,0
7061,NFYC,0,0.28266033,0,5,1,0,FALSE,,38,1,0,FALSE,0,NFYC,0
7063,NKX2-3,0,0.28743961,0,6,1,0,FALSE,,20,1,0,FALSE,0,NKX2-3,0
7077,PAWR,0,1,0,1,1,0,FALSE,,46,1,0,FALSE,0,PAWR,0
7089,PIAS1,0,0.27045455,0.5,6,2,0,FALSE,,15.5,2,0,FALSE,0,PIAS1,0
7091,PIAS2,0,0.30279898,0.16666667,5,3,0,FALSE,,27.66666667,3,0,FALSE,0,PIAS2,0
7096,PIAS4,0,0.21597096,0,7,2,0,FALSE,,15.5,2,0,FALSE,0,PIAS4,0
7113,RBMX,0,0.31007752,0,5,3,0,FALSE,,21,3,0,FALSE,0,RBMX,0
7137,SIM2,0,1,0.5,1,2,1,FALSE,,33,1,0,FALSE,0,SIM2,0
7141,SMAD2,0,0.26153846,0.16666667,6,3,0,FALSE,,20.33333333,3,0,FALSE,0,SMAD2,0
7172,SP2,0,1,0,1,1,0,FALSE,,33,1,0,FALSE,0,SP2,0
7178,SP4,0,0.35,0.3,5,5,0,FALSE,,35.6,5,0,FALSE,0,SP4,0
7181,SPDEF,0,1,0,1,1,0,FALSE,,33,1,0,FALSE,0,SPDEF,0
7221,TFAP2B,0,1,0,1,1,0,FALSE,,29,1,0,FALSE,0,TFAP2B,0
7223,TFAP2C,0,0.31233596,0,5,2,0,FALSE,,34.5,2,0,FALSE,0,TFAP2C,0
7243,USF1,0,0.35207101,0.07142857,5,7,0,FALSE,,21.57142857,7,0,FALSE,0,USF1,0
7257,XRCC5,0,0.27546296,0,6,2,0,FALSE,,22,2,0,FALSE,0,XRCC5,0
7259,XRCC6,0,1,0,1,1,0,FALSE,,29,1,0,FALSE,0,XRCC6,0
7267,ZBTB16,0,0.28199052,0.33333333,5,3,0,FALSE,,23,3,0,FALSE,0,ZBTB16,0
7269,ZBTB7A,0,0.29238329,0.5,5,2,0,FALSE,,58,2,0,FALSE,0,ZBTB7A,0
7273,ZNRD1,0,1,0,1,1,0,FALSE,,46,1,0,FALSE,0,ZNRD1,0
7275,AATF,0,0.32872928,1,5,2,0,FALSE,,71,2,0,FALSE,0,AATF,0
7282,AES,0,0.26862302,0,6,1,0,FALSE,,14,1,0,FALSE,0,AES,0
7288,AIP,0,0.24895397,0,6,1,0,FALSE,,11,1,0,FALSE,0,AIP,0
7293,APEX1,0,0.33615819,0.5,5,2,0,FALSE,,51,2,0,FALSE,0,APEX1,0
7309,ARID1A,0,0.24485597,0,6,1,0,FALSE,,13,1,0,FALSE,0,ARID1A,0
7311,ARID3A,0,0.29166667,0,5,1,0,FALSE,,44,1,0,FALSE,0,ARID3A,0
7319,ARNTL,0,0.66666667,0,2,1,0,FALSE,,5,1,0,FALSE,0,ARNTL,0
7327,ATF3,0,0.31903485,0,5,1,0,FALSE,,64,1,0,FALSE,0,ATF3,0
7329,ATF4,0,0.27546296,0,6,1,0,FALSE,,20,1,0,FALSE,0,ATF4,0
7333,ATF6,0,0.25369979,0,6,2,0,FALSE,,7.5,2,0,FALSE,0,ATF6,0
7341,BCL11A,0,0.22368421,0,7,1,0,FALSE,,12,1,0,FALSE,0,BCL11A,0
7344,BCL3,0,0.34492754,0.16666667,5,3,0,FALSE,,40.66666667,3,0,FALSE,0,BCL3,0
7349,BCL6,0,0.36280488,0.15,4,5,0,FALSE,,34.6,5,0,FALSE,0,BCL6,0
7355,BDP1,0,0.34795322,0.66666667,4,3,0,FALSE,,53,3,0,FALSE,0,BDP1,0
7359,BIN1,0,0.26096491,0,6,1,0,FALSE,,78,1,0,FALSE,0,BIN1,0
7372,BRIP1,0,0.23856859,0,6,1,0,FALSE,,2,1,0,FALSE,0,BRIP1,0
7374,BTAF1,0,0.24895397,0,6,1,0,FALSE,,16,1,0,FALSE,0,BTAF1,0
7377,BTF3,0,0.33521127,0,5,2,0,FALSE,,30.5,2,0,FALSE,0,BTF3,0
7380,CBFB,0,0.28199052,0,5,3,0,FALSE,,10.33333333,3,0,FALSE,0,CBFB,0
7384,CDX1,0,0.27610209,0,5,2,0,FALSE,,19,2,0,FALSE,0,CDX1,0
7387,CDX2,0,0.35951662,0.25,5,4,0,FALSE,,23,4,0,FALSE,0,CDX2,0
7396,CEBPB,0,0.27803738,0,6,2,0,FALSE,,7.5,2,0,FALSE,0,CEBPB,0
7399,CEBPD,0,0.25757576,0,6,1,0,FALSE,,22,1,0,FALSE,0,CEBPD,0
7401,CEBPE,0,0.27356322,0.5,5,2,0,FALSE,,45,2,0,FALSE,0,CEBPE,0
7404,CEBPZ,0,0.22972973,0,6,1,0,FALSE,,10,1,0,FALSE,0,CEBPZ,0
7406,CHD8,0,0.30829016,0.5,5,2,0,FALSE,,62,2,0,FALSE,0,CHD8,0
7412,CLOCK,0,0.66666667,0,2,1,0,FALSE,,5,1,0,FALSE,0,CLOCK,0
7415,CNBP,0,0.26096491,0,6,1,0,FALSE,,78,1,0,FALSE,0,CNBP,0
7426,CREB5,0,0.26984127,0,6,1,0,FALSE,,20,1,0,FALSE,0,CREB5,0
7428,CREBBP,0,0.38141026,0.13333333,5,6,0,FALSE,,28.66666667,6,0,FALSE,0,CREBBP,0
7438,CRX,0,0.23856859,0,6,1,0,FALSE,,3,1,0,FALSE,0,CRX,0
7440,CTBP1,0,0.29310345,0,5,1,0,FALSE,,46,1,0,FALSE,0,CTBP1,0
7442,CTCF,0,0.33333333,0.25,5,4,0,FALSE,,41.25,4,0,FALSE,0,CTCF,0
7456,CTNNBIP1,0,0.22884615,0,6,1,0,FALSE,,6,1,0,FALSE,0,CTNNBIP1,0
7459,DDIT3,0,0.31578947,0,5,4,0,FALSE,,10.5,4,0,FALSE,0,DDIT3,0
7464,DLX4,0,0.29310345,0,5,1,0,FALSE,,46,1,0,FALSE,0,DLX4,0
7466,DLX5,0,0.26096491,0,6,1,0,FALSE,,78,1,0,FALSE,0,DLX5,0
7468,DMAP1,0,0.28883495,0,6,2,0,FALSE,,12,2,0,FALSE,0,DMAP1,0
7476,DR1,0,0.27944573,0,5,2,0,FALSE,,13,2,0,FALSE,0,DR1,0
